time,setpoint,output1,output2
0.001,40.0,0.09980039920159679,0.09980039920159679
0.002,40.0,0.4952485249062752,0.4946568937972358
0.003,40.0,1.2680353339803272,1.2633443783033846
0.004,40.0,2.379097005211478,2.360636986026941
0.005,40.0,3.7759170351564406,3.7264595080498912
0.006,40.0,5.404268252574397,5.30027650727995
0.007,40.0,7.213478960580234,7.027511070202785
0.008,40.0,9.157408948077087,8.86053120076608
0.009000000000000001,40.0,11.194630188002314,10.758486734499145
0.01,40.0,13.288325634752818,12.686764593190295
0.011,40.0,15.406101247663878,14.616372046292305
0.012,40.0,17.51975908100674,16.523329553044526
0.013000000000000001,40.0,19.60504920882346,18.38809898552121
0.014,40.0,21.64140873068861,20.195053931893977
0.015,40.0,23.61169335584122,21.93199307414587
0.016,40.0,25.501905910091384,23.589695681861176
0.017,40.0,27.300925422797278,25.161517540718222
0.018000000000000002,40.0,29.000239906225858,26.64302531596636
0.019,40.0,30.59368545740509,28.031667191533106
0.02,40.0,32.07719387236645,29.326477543679488
0.021,40.0,33.448550559261705,30.527813375305648
0.022,40.0,34.70716416866409,31.637120240026753
0.023,40.0,35.85384902556858,32.656725416232
0.024,40.0,36.89062114727197,33.58965614479646
0.025,40.0,37.82050836331813,34.43948081525915
0.026000000000000002,40.0,38.64737481670559,35.21017107012242
0.027,40.0,39.375759918066905,35.905982892032476
0.028,40.0,40.01073164489681,36.5313548410121
0.029,40.0,40.55775392438687,37.0908217161034
0.03,40.0,41.022567709207635,37.58894202559221
0.031,40.0,41.411085248822594,38.03023776061872
0.032,40.0,41.72929697276782,38.41914507692636
0.033,40.0,41.98319033494846,38.75997459752942
0.034,40.0,42.17867991758481,39.056880154192136
0.035,40.0,42.32154805823071,39.313834887021564
0.036000000000000004,40.0,42.417395241596616,39.5346137185771
0.037,40.0,42.471599488123154,39.72278131124533
0.038,40.0,42.489283971836926,39.88168470390802
0.039,40.0,42.47529210953716,40.014449905949675
0.04,40.0,42.43416938046251,40.123981803313
0.041,40.0,42.37015115902261,40.21296680260224
0.042,40.0,42.28715587179676,40.28387770521128
0.043000000000000003,40.0,42.188782822749936,40.33898036422567
0.044,40.0,42.07831406653894,40.380341732572106
0.045,40.0,41.95871974801683,40.409838961755156
0.046,40.0,41.83266636582406,40.42916925674747
0.047,40.0,41.70252745859834,40.43986023442244
0.048,40.0,41.570396253246514,40.443280570587866
0.049,40.0,41.43809985538165,40.44065075445261
0.05,40.0,41.307214601996364,40.433053799496754
0.051000000000000004,40.0,41.17908223534397,40.42144578647964
0.052000000000000005,40.0,41.05482659452391,40.40666613796553
0.053,40.0,40.93537055716663,40.389447544524906
0.054,40.0,40.82145299768885,40.37042548092159
0.055,40.0,40.71364556069532,40.35014726635549
0.056,40.0,40.61236907813263,40.329080636418894
0.057,40.0,40.51790948668997,40.307621806050705
0.058,40.0,40.43043312765801,40.28610301263568
0.059000000000000004,40.0,40.3500013350001,40.26479953667895
0.06,40.0,40.27658423878362,40.24393620436287
0.061,40.0,40.21007373040879,40.22369338192241
0.062,40.0,40.150295553323396,40.20421247630514
0.063,40.0,40.09702049820313,40.18560096014646
0.064,40.0,40.0499746950001,40.1679369418149
0.065,40.0,40.00884900591835,40.151273303277385
0.066,40.0,39.97330753337076,40.135641429903544
0.067,40.0,39.942995265420414,40.121054557162296
0.068,40.0,39.91754488822516,40.10751075954623
0.069,40.0,39.89658280070263,40.094995607063304
0.07,40.0,39.87973437113018,40.083484514326884
0.07100000000000001,40.0,39.86662847880269,40.072944806711995
0.07200000000000001,40.0,39.85690138630203,40.06333752727936
0.073,40.0,39.85019998949183,40.05461900724342
0.074,40.0,39.84618449314173,40.04674222171607
0.075,40.0,39.84453056020427,40.03965795132686
0.076,40.0,39.84493098230608,40.03331576913209
0.077,40.0,39.84709691805887,40.02766487100523
0.078,40.0,39.8507587444245,40.02265476646774
0.079,40.0,39.85566656465591,40.01823584569255
0.08,40.0,39.861590414348434,40.01435983720451
0.081,40.0,39.868320204936786,40.010980169625114
0.082,40.0,39.87566544161511,40.0080522496723
0.083,40.0,39.883454750192264,40.00553366753624
0.084,40.0,39.89153524486446,40.003384339714785
0.085,40.0,39.89977176633206,40.00156659841101
0.08600000000000001,40.0,39.90804601713977,40.00004523567223
0.08700000000000001,40.0,39.916255618608524,39.99878750958664
0.088,40.0,39.92431311127782,39.99776311905018
0.089,40.0,39.93214491840886,39.99694415287224
0.09,40.0,39.93969028982864,39.996305018302806
0.091,40.0,39.94690024123602,39.99582235343437
0.092,40.0,39.953736502052514,39.995474927357016
0.093,40.0,39.96017048299087,39.99524353142252
0.094,40.0,39.96618227273761,39.99511086449966
0.095,40.0,39.97175967150416,39.995061414676655
0.096,40.0,39.97689726769576,39.99508133948373
0.097,40.0,39.98159556257671,39.99515834636718
0.098,40.0,39.98586014657215,39.9952815748423
0.099,40.0,39.98970092973681,39.99544148148447
0.1,40.0,39.99313142793497,39.995629728680754
0.101,40.0,39.996168105408245,39.99583907785865
0.10200000000000001,40.0,39.99882977365205,39.996063287728454
0.10300000000000001,40.0,40.0011370458713,39.9962970179213
0.10400000000000001,40.0,40.003111845734274,39.99653573827183
0.105,40.0,40.00477696868291,39.99677564388195
0.106,40.0,40.00615569368192,39.99701357600718
0.107,40.0,40.00727144298934,39.99724694872826
0.108,40.0,40.008147487301926,39.99747368130594
0.109,40.0,40.00880669346177,39.997692136064686
0.11,40.0,40.00927131180011,39.99790106160965
0.111,40.0,40.009562800133146,39.998099541149855
0.112,40.0,40.009701681407186,39.99828694567671
0.113,40.0,40.00970743201078,39.99846289173122
0.114,40.0,40.009598397823616,39.99862720348274
0.115,40.0,40.009391735151794,39.99877987883735
0.116,40.0,40.0091033738009,39.998921059293224
0.117,40.0,40.00874799965865,39.99905100326341
0.11800000000000001,40.0,40.00833905429331,39.999170062592135
0.11900000000000001,40.0,40.00788874921894,39.99927866199923
0.12,40.0,40.00740809263162,39.999377281197134
0.121,40.0,40.00690692657764,39.99946643943647
0.122,40.0,40.00639397267444,39.99954668224871
0.123,40.0,40.00587688466448,39.99961857016765
0.124,40.0,40.0053623062399,39.999682669224676
0.125,40.0,40.00485593272985,39.999739543027054
0.126,40.0,40.004362575391966,39.99978974624161
0.127,40.0,40.00388622719285,39.99983381932008
0.128,40.0,40.00343012909917,39.99987228431541
0.129,40.0,40.00299683603034,39.999905641651026
0.13,40.0,40.00258828174511,39.99993436771739
0.131,40.0,40.002205842047644,39.999958913181736
0.132,40.0,40.001850395803295,39.999979701907954
0.133,40.0,40.001522383350526,39.99999713039393
0.134,40.0,40.00122186198324,40.00001156764346
0.135,40.0,40.00094855825717,40.00002335539884
0.136,40.0,40.00070191694549,40.00003280866856
0.137,40.0,40.000481146532074,40.000040216492444
0.138,40.0,40.00028526118726,40.00004584289359
0.139,40.0,40.00011311921957,40.000049927972896
0.14,40.0,39.999963458039424,40.000052689107946
0.14100000000000001,40.0,39.99983492570657,40.00005432222345
0.14200000000000002,40.0,39.999726109163376,40.00005500310505
0.14300000000000002,40.0,39.99963555928084,40.00005491457568
0.14400000000000002,40.0,39.999561812864044,40.000054217839455
0.145,40.0,39.999503411779166,40.00005297735243
0.146,40.0,39.99945891937561,40.000051248039064
0.147,40.0,39.999426934384495,40.00004915458722
0.148,40.0,39.999406102479355,40.00004681217872
0.149,40.0,39.99939512568666,40.00004429769941
0.15,40.0,39.99939276983305,40.00004167388974
0.151,40.0,39.99939787021334,40.000038992538514
0.152,40.0,39.9994093356589,40.000036296805
0.153,40.0,39.999426151179755,40.000033622415245
0.154,40.0,39.999447379346755,40.000030998595534
0.155,40.0,39.99947216057188,40.00002844886415
0.156,40.0,39.999499712435615,40.00002599174033
0.157,40.0,39.99952932820131,40.00002364138654
0.158,40.0,39.99956037464627,40.00002140819138
0.159,40.0,39.99959228932958,40.00001929929726
0.16,40.0,39.999624577406664,40.00001731907626
0.161,40.0,39.999656808090755,40.00001546955742
0.162,40.0,39.99968861085144,40.000013750808655
0.163,40.0,39.99971967143155,40.000012161276494
0.164,40.0,39.9997497277541,40.00001069808674
0.165,40.0,39.99977856578267,40.0000093573092
0.166,40.0,39.99980601539019,40.00000813418947
0.167,40.0,39.99983194628353,40.000007023350555
0.168,40.0,39.99985626402396,40.00000601896719
0.169,40.0,39.99987890617711,40.00000511491537
0.17,40.0,39.9998998386195,40.00000427102737
0.171,40.0,39.99991905202356,40.00000341694048
0.17200000000000001,40.0,39.9999365585376,40.00000252366354
0.17300000000000001,40.0,39.999952388672845,40.00000159994916
0.17400000000000002,40.0,39.99996658840535,40.00000065481193
0.17500000000000002,40.0,39.999979216497174,39.99999969753359
0.176,40.0,39.99999034203792,39.99999873757196
0.177,40.0,40.00000004220503,39.99999778446783
0.178,40.0,40.000008400238926,39.99999684775048
0.179,40.0,40.00001550362696,39.99999593684274
0.18,40.0,40.00002144248872,39.99999506096653
0.181,40.0,40.00002630815371,39.99999422904991
0.182,40.0,40.000030191921574,39.99999344963639
0.183,40.0,40.00003318399416,39.99999273079762
0.184,40.0,40.00003537256816,39.99999208005023
0.185,40.0,40.000036843076785,39.999991504277666
0.186,40.0,40.00003767756876,39.99999100965795
0.187,40.0,40.0000379806493,39.99999060159793
0.188,40.0,40.000037861365314,39.9999902846749
0.189,40.0,40.000037364562914,39.99999006258608
0.19,40.0,40.00003649282773,39.99998993810656
0.191,40.0,40.00003525260817,39.999989913056204
0.192,40.0,40.000033692658135,39.99998998827587
0.193,40.0,40.00003191404478,39.99999016361318
0.194,40.0,40.000029999138796,39.99999043791816
0.195,40.0,40.000027994494694,39.99999080904872
0.196,40.0,40.000025937831964,39.999991273886096
0.197,40.0,40.0000238609008,39.999991828360095
0.198,40.0,40.000021791006404,39.99999246748394
0.199,40.0,40.000019751509775,39.99999318539849
0.2,40.0,40.00001776216294,39.99999397542533
